"sku","category","brand","supplier","parent_name","product_name","variant_name","description","price","currency","colors","width","height","depth","weight","collection","designer","awards","material","dimensions"
"vipp_Vipp13","N/A","Vipp","Vipp","N/A","Pedal bin 4 L / 1 gal","N/A","The Vipp13 pedal bin the smallest of the Vipp bins and is a trash can ideal for the bathroom. This pedal bin is equipped with a removable inner bin, a lid that ensures air-tight closure, and a damper mechanism that provides smooth closing of the lid. A rubber ring at the base protects floors. For an overview of all available sizes of Vipp bins, click the link below.","229.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","Holger Nielsen, 1939","N/A","Powder-coated steel, stainless steel, rubber. View care instructions","placeholder"
"vipp_Vipp14","N/A","Vipp","Vipp","N/A","Pedal bin 8 L / 2 gal","N/A","The Vipp14 pedal bin is a smaller trash can well-suited for bathrooms. This pedal bin is equipped with a removable inner bin, a lid that ensures air-tight closure, and a damper mechanism that provides smooth closing of the lid. A rubber ring at the base protects floors. For an overview of all available sizes of Vipp bins, click the link below.","255.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","Holger Nielsen, 1939","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp15","N/A","Vipp","Vipp","N/A","Pedal bin 14 L / 4 gal","N/A","The Vipp15 pedal bin is a medium-sized trash can for the kitchen, office or bathroom. This pedal bin is equipped with a removable inner bin, a lid that ensures air-tight closure, and a damper mechanism that provides smooth closing of the lid. A rubber ring at the base protects floors. For an overview of all available sizes of Vipp bins, click the link below.","325.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","Holger Nielsen, 1939","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp16","N/A","Vipp","Vipp","N/A","Pedal bin 18 L / 5 gal","N/A","The Vipp16 pedal bin is a large trash can for kitchen, office or bathroom. This pedal bin is equipped with a removable inner bin, a lid that ensures air-tight closure, and a damper mechanism that provides smooth closing of the lid. A rubber ring at the base protects floors. For an overview of all available sizes of Vipp bins, click the link below.","359.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","Holger Nielsen, 1939","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp17","N/A","Vipp","Vipp","N/A","Pedal bin 30 L / 8 gal","N/A","The Vipp17 pedal bin is the largest of the Vipp bins, ideal for use in kitchens. This pedal bin is equipped with a removable inner bin, a lid that ensures air-tight closure, and a damper mechanism that provides smooth closing of the lid. A rubber ring at the base protects floors. For an overview of all available sizes of Vipp bins, click the link below.","469.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","Holger Nielsen, 1939","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp10","N/A","Vipp","Vipp","N/A","Container","N/A","The Vipp container is an easy storage solution for everything from keys to cotton pads. With a sturdy body and a removable inner section, the Vipp container is a handy addition to every room.","79.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp5","N/A","Vipp","Vipp","N/A","Soap dish","N/A","The Vipp soap dish neatly stores soap bars in the bathroom. Featuring dishwasher-proof rubber parts, the soap dish can easily be taken apart for cleaning. A rubber base protects surfaces, while a rubber groove keeps the soap dry.","60.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp11w","N/A","Vipp","Vipp","N/A","Toilet brush, wall","N/A","The wall-mounted Vipp toilet brush is a refined bathroom necessity. A rubber ring at the top of provides air-tight closure. The brush head and inner tube of the toilet brush can be replaced.","189.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone, plastic. View care instructions","placeholder"
"vipp_Vipp11","N/A","Vipp","Vipp","N/A","Toilet brush","N/A","The Vipp toilet brush is a refined bathroom necessity. A silicone ring at the top of the toilet brush provides air-tight closure, while extra weight at the base ensures stability. The brush head and inner tube of the toilet brush can be replaced.","189.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone, plastic. View care instructions","placeholder"
"vipp_Vipp441","N/A","Vipp","Vipp","N/A","Laundry basket","N/A","The Vipp laundry basket is a practical solution for laundry sorting, and is ideal for the bathroom or bedroom. The perforated lid ensures air circulation, and the machine-washable inner liner divided in two sections makes laundry sorting easy. The Vipp laundry basket is fitted on wheels.","509.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone, nylon mesh. View care instructions","placeholder"
"vipp_Vipp8","N/A","Vipp","Vipp","N/A","Towel bar","N/A","The Vipp towel bar is an elegant addition to any bathroom. Featuring a functional groove, the Vipp towel bar provides a non-slip surface for wet towels.","215.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Stainless steel, two-component plastic. View care instructions","placeholder"
"vipp_Vipp9","N/A","Vipp","Vipp","N/A","Dispenser","N/A","The Vipp dispenser is a functional product for the bathroom or kitchen. A custom-designed pump ensures a proper amount of soap, sanitiser gel, or dishwashing liquid. A sturdy body with a solid base gives the Vipp dispenser stability for one-hand operation.","115.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone, plastic. View care instructions","placeholder"
"vipp_Vipp9w","N/A","Vipp","Vipp","N/A","Dispenser, wall","N/A","The wall-mounted version of the Vipp dispenser is a functional product for the bathroom or kitchen. A custom-designed pump ensures a proper amount of soap, sanitiser gel, or dishwashing liquid. The wall-mounted Vipp dispenser can be easily removed from the wall bracket.","125.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone, plastic. View care instructions","placeholder"
"vipp_Vipp7","N/A","Vipp","Vipp","N/A","Toothbrush holder","N/A","The Vipp toothbrush holder is pure bathroom functionality. With a removable rubber inner section, the toothbrush holder separates the toothbrush from the toothpaste. A non-skid rubber base protects surfaces.","79.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp6","N/A","Vipp","Vipp","N/A","Shower shelf","N/A","The Vipp shower shelf is a functional addition to the bathroom shower area. Acid-resistant materials protects the shower shelf against soap residue, and a removable insert makes it easy to clean.","199.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Stainless steel, two-component plastic. View care instructions","placeholder"
"vipp_Vipp4","N/A","Vipp","Vipp","N/A","Spare roll holder","N/A","The Vipp spare roll holder is a handy solution for storaging spare toilet rolls in the bathroom. Along with Vipp’s toilet roll holder, the spare roll holder completes a functional pair of products for the bathroom.","99.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Stainless steel, two-component plastic. View care instructions","placeholder"
"vipp_Vipp3","N/A","Vipp","Vipp","N/A","Toilet roll holder","N/A","The Vipp toilet roll holder is a part the Vipp bathroom collection. The Vipp toilet roll holder features a discreet opening and closing mechanism, and a rubber-coated groove holds the toilet roll in place.","199.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Stainless steel, two-component plastic. View care instructions","placeholder"
"vipp_Vipp911","N/A","Vipp","Vipp","N/A","Mirror, small","N/A","The smallest in the Vipp collection, this mirror is ideal for the small bathroom or hallway. Powerful in its functional simplicity, the small Vipp mirror features a rounded frame encircling wet-room-proof glass.","609.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium, 8 mm wet room proof glass. View care instructions","placeholder"
"vipp_Vipp912","N/A","Vipp","Vipp","N/A","Mirror, medium","N/A","This is the medium-sized mirror in the Vipp collection, ideal for the bathroom, bedroom or hallway. Powerful in its functional simplicity, the medium Vipp mirror features a rounded frame encircling wet-room-proof glass.","750.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium, 8 mm wet room proof glass. View care instructions","placeholder"
"vipp_Vipp913","N/A","Vipp","Vipp","N/A","Mirror, large","N/A","This is the largest mirror in the Vipp collection, ideal for spacious bathrooms, bedrooms or hallways. Powerful in its functional simplicity, the large Vipp mirror features a rounded frame encircling wet-room-proof glass.","900.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium 8 mm wet room proof glass. View care instructions","placeholder"
"vipp_Vipp981","N/A","Vipp","Vipp","N/A","Bath module, small","N/A","This is smallest of the Vipp bath modules, ideal for bathrooms with limited space. All three available Vipp bath modules are fitted with a durable tabletop with an integrated sink with two pre-cut cutouts of Ø35 mm. This bath module has one sink and one large drawer. Please see product details for options regarding bathroom tap.","2,550.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp982","N/A","Vipp","Vipp","N/A","Bath module, medium","N/A","This is the medium-sized version of the Vipp bath modules, ideal for bathrooms where storage space is needed. All three available Vipp bath modules are fitted with a durable tabletop with an integrated sink with two pre-cut cutouts of Ø35 mm. This bath module has one sink and three drawers. Please see product details for options regarding bathroom tap.","3,959.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp983","N/A","Vipp","Vipp","N/A","Bath module, large","N/A","This is the largest of the Vipp bath modules, ideal for spacious bathrooms where a lot of storage space is needed. This bath module features a durable tabletop with two integrated sinks with two pre-cut cutouts of Ø35 mm and four drawers. Please see product details for options regarding bathroom tap.","5,299.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp906","N/A","Vipp","Vipp","N/A","Bathroom tap","N/A","The Vipp bathroom tap is operated with a separate lever and equipped with a swivel spout. Featuring a lime-resistant aerator and a ceramic cartridge, the Vipp bathroom tap is drip-free with a soft water jet.","675.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Stainless steel. View care instructions","placeholder"
"vipp_Vipp2","N/A","Vipp","Vipp","N/A","Shower wiper","N/A","The Vipp shower wiper has a replaceable wiper blade in soft silicone, which easily removes water from smooth surfaces in the bathroom. Soft edges protect surfaces, and a silicone strap makes it easy to hang the shower wiper on the supplied hook after use.","79.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Stainless steel, plastic, silicone. View care instructions","placeholder"
"vipp_Vipp104","N/A","Vipp","Vipp","N/A","Bath towel","N/A","Vipp towels are made of pure organic cotton for optimal quality, water absorption and softness. The towels are fitted with a solid rubber strap and are available in three versions - guest towel, hand towel and bath towel.","40.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","100% organic cotton, rubber. View care instructions","placeholder"
"vipp_Vipp103","N/A","Vipp","Vipp","N/A","Hand towel","N/A","Vipp towels are made of pure organic cotton for optimal quality, water absorption and softness. The towels are fitted with a solid rubber strap and are available in three versions - guest towel, hand towel and bath towel.","29.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","100% organic cotton, rubber. View care instructions","placeholder"
"vipp_Vipp102","N/A","Vipp","Vipp","N/A","Guest towel","N/A","Vipp towels are made of pure organic cotton for optimal quality, water absorption and softness. The towels are fitted with a solid rubber strap and are available in three versions - guest towel, hand towel and bath towel.","13.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","100% organic cotton, rubber. View care instructions","placeholder"
"vipp_Vipp530","N/A","Vipp","Vipp","N/A","Table lamp","N/A","The Vipp table lamp is a lamp ideal for the living room or bedroom. It is equipped with a pull string and a solid base for stability. An inside reflector guides the light straight downwards and the perforated lampshade adds a soft diffusion of light, making the table lamp suitable by the bedside or on a sideboard.","269.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium and steel, stainless steel, silicone, glass, fabric-covered cord. View care instructions","placeholder"
"vipp_Vipp528","N/A","Vipp","Vipp","N/A","Pendant, small","N/A","This Vipp pendant is the smaller sized version of the two pendants, for the kitchen or the dining room. The small-sized pendant has a perforated lamp shade and matte glass for a balanced diffusion of light, ideal above kitchen modules or the dining table.","269.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium and steel, stainless steel, glass, fabric-covered cord. View care instructions","placeholder"
"vipp_Vipp526","N/A","Vipp","Vipp","N/A","Pendant","N/A","The Vipp pendant is a lamp for the dining room. The pendant has a perforated lamp shade and matte glass for a pleasant diffusion of light.","419.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium and steel, stainless steel, silicone, glass, fabric-covered cord. View care instructions","placeholder"
"vipp_Vipp522","N/A","Vipp","Vipp","N/A","Wall lamp","N/A","The Vipp wall lamp is a versatile wall light for the home or office space. The wall lamp features an adjustable arm for forcused lighting and a perforated shade for a pleasant diffusion of light. An adapter is available as a spare part, if the installation requires it.","359.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium and steel, stainless steel, silicone, glass, fabric-covered cord. View care instructions","placeholder"
"vipp_Vipp523","N/A","Vipp","Vipp","N/A","Wall lamp, small","N/A","This small-sized Vipp wall lamp is a versatile wall light for the hallway, kitchen, bedroom or living room. It is equipped with an adjustable arm for multifunctional usage and fits right by the sofa and bedside or placed above mirrors. Scroll to the bottom of this page to check if your installation requires a wall mount adapter.","309.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium and steel, stainless steel, silicone, glass, fabric-covered cord. View care instructions","placeholder"
"vipp_Vipp524","N/A","Vipp","Vipp","N/A","Wall spot","N/A","The Vipp wall spot is a versatile wall light for the bathroom, hallway, kitchen or living room. The wall spot has a perforated shade for a pleasant diffusion of light. Scroll to the bottom of this page to check if your installation requires a wall mount adapter.","269.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Matte black powder-coated aluminium and steel or smooth white aluminium and steel, stainless steel, silicone, glass, fabric-covered cord. View care instructions","placeholder"
"vipp_Vipp551","N/A","Vipp","Vipp","N/A","Outdoor wall spot","N/A","The Vipp outdoor wall spot is a versatile wall light well suited for outdoor facades. This lamp is made from powder-coated aluminium and stainless steel with matte glass and a perforated shade offering a pleasant diffusion of light. Also suitable for indoor use.","319.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium and stainless steel, silicone, glass. View care instructions","placeholder"
"vipp_Vipp521","N/A","Vipp","Vipp","N/A","Desk lamp","N/A","The Vipp desk lamp is a work lamp for the office or the home. It is equipped with an adjustable arm, finger screws, and a solid base for stability. The desk lamp has a perforated shade and matte glass for a pleasant diffusion of light.","419.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium and steel, stainless steel, silicone, glass, fabric-covered cord. View care instructions","placeholder"
"vipp_Vipp521ins","N/A","Vipp","Vipp","N/A","Desk lamp w/ insert","N/A","The Vipp desk lamp w/ insert is a functional work light for the home or office space. Made to be installed directly in the desk, the Vipp desk lamp w/ insert has an adjustable arm for focused lighting. The lamp also features a perforated shade and matte glass for a pleasant diffusion of light.","365.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium and steel, stainless steel, silicone, glass, fabric-covered cord. View care instructions","placeholder"
"vipp_Vipp525","N/A","Vipp","Vipp","N/A","Floor reading lamp","N/A","The Vipp floor reading lamp is a reading light for the living room. Equipped with details such as an adjustable arm for focused lighting, the floor reading lamp also features a perforated shade and matte glass for a pleasant diffusion of light.","469.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium and steel, stainless steel, silicone, glass, fabric-covered cord. View care instructions","placeholder"
"vipp_Vipp462","N/A","Vipp","Vipp","N/A","Lodge chair","N/A","The Vipp Lodge chair is suitable for the dining- or living room. This dining chair features a moulded soft shell and legs of solid oak. The shell of the Lodge chair can be customised in Vipp's entire upholstery range. Here shown in predefined variants with dark oak or light oak legs. For more upholsteries, click the details below.","1,189.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Metal, High Resilience foam, oiled light oak, lacquered dark oak, textile, or leather. View care instructions","placeholder"
"vipp_Vipp466","N/A","Vipp","Vipp","N/A","Lodge lounge chair","N/A","The Vipp Lodge lounge chair is suited for the living room or lounge area. This lounge chair features a moulded soft shell and legs of solid oak. The shell of the Lodge lounge chair can be customised in Vipp's entire upholstery range. Here shown in predefined variants with dark oak or light oak legs.","2,209.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Metal, High Resilience foam, oiled light oak, lacquered dark oak, textile, or leather. View care instructions","placeholder"
"vipp_Vipp467","N/A","Vipp","Vipp","N/A","Lodge footstool","N/A","The Lodge footstool is a free-standing footrest to be paired with the Lodge lounge chair. This footstool features a moulded soft shell and legs in solid oak. The shell of the Lodge footstool can be customised in Vipp's entire upholstery range. Here shown in predefined variants with dark oak or light oak legs.","1,009.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Metal, High Resilience foam, oiled light oak, lacquered dark oak, textile, or leather. View care instructions","placeholder"
"vipp_Vipp89466","N/A","Vipp","Vipp","N/A","Neck rest for Lodge lounge chair","N/A","The neck rest is a customised, retrofitted neck pillow for the Lodge lounge chair. The neck rest features a soft foam pillow attached to a heavy aluminium bar. This construction makes it easy to attach and detach to the Lodge lounge chair. Available in light or dark leather.","339.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","High Resilience Foam, leather upholstery. Sanded and anodized aluminium bar. View care instructions","placeholder"
"vipp_Vipp452","N/A","Vipp","Vipp","N/A","Swivel chair w/ castors","N/A","Vipp Swivel chair is suitable for the home office or meeting room. The chair features a polished or powder-coated aluminium frame with an upholstered leather seat and backrest. A four-legged base on castor wheels allows for a 360° seat rotation. Also available with gliders. The upholstery of black and sand leather features unique visual characteristics.","1,009.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated or polished aluminium, upholstered with leather. View care instructions","placeholder"
"vipp_Vipp452","N/A","Vipp","Vipp","N/A","Swivel chair w/ gliders","N/A","Vipp Swivel chair is suitable for the home office or meeting room. The chair features a polished or powder-coated aluminium frame with an upholstered leather seat and backrest. A four-legged base on floor gliders allows for a 360° seat rotation. Also available with castors. The upholstery of black and sand leather features unique visual characteristics.","939.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated or polished aluminum, upholstered with leather. View care instructions","placeholder"
"vipp_Vipp451","N/A","Vipp","Vipp","N/A","Chair w/ leather","N/A","Vipp chair is suitable for the dining- or living room. The chair features a powder-coated or polished aluminium frame with rounded armrests and a small backrest. Upholstery of leather is available in either black, cognac, or sand and features unique visual characteristics.","869.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated or polished aluminum, upholstered with leather. View care instructions","placeholder"
"vipp_Vipp451","N/A","Vipp","Vipp","N/A","Chair w/ fabric","N/A","The Vipp chair is suitable for the dining- or living room. The chair features a powder-coated aluminium frame with rounded armrests and a small backrest. Upholstery of dark grey textile.","469.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium, upholstered in fabric. See care instructions","placeholder"
"vipp_Vipp484","N/A","Vipp","Vipp","N/A","Cabin counter stool","N/A","Vipp Cabin counter stool is made for a kitchen counter. This counter stool features rounded components of solid oak and a hovering veneer seat with an affixed cushion in either sand or black leather. The supportive footrest of steel ensures stability. The Cabin counter stool is also available in a bar version.","869.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Light oak: Oiled solid oak, stainless steel. Dark oak: Olied solid oak, powder-coated steel. View care instructions","placeholder"
"vipp_Vipp485","N/A","Vipp","Vipp","N/A","Cabin bar stool","N/A","Vipp Cabin bar stool is suitable for bar seating. This bar stool features rounded components of solid oak and a hovering veneer seat with an affixed cushion in either sand or black leather. The supportive footrest of steel ensures stability. The Cabin bar stool is also available in a counter version.","939.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Light oak: Oiled solid oak, stainless steel. Dark oak: Oiled solid oak, powder-coated steel. View care instructions","placeholder"
"vipp_Vipp481","N/A","Vipp","Vipp","N/A","Cabin chair w/ leather","N/A","Vipp Cabin chair is suitable for the dining- or living room. This chair features rounded components of solid oak and a hovering veneer seat with an affixed cushion in either sand or black leather. The leather features unique visual characteristics. The Cabin chair is also available without a leather cushion.","599.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Light oak: oiled, aniline leather. Dark oak: oiled, aniline leather. View care instructions","placeholder"
"vipp_Vipp481","N/A","Vipp","Vipp","N/A","Cabin chair","N/A","Vipp Cabin chair is suitable for the dining- or living room. This chair features rounded components of solid oak and a hovering veneer seat. The Cabin chair is also available with an affixed leather cushion in either sand or black leather.","469.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Light oak: oiled. Dark oak: oiled. View care instructions","placeholder"
"vipp_Vipp494","N/A","Vipp","Vipp","N/A","Cabin round table, dark oak base","N/A","The Vipp Cabin round table is a medium-sized table for the dining room or kitchen. This table features a base of solid, lacquered dark oak with a marble tabletop. The Cabin table is also available in a square version. Please note that each marble plate has a unique visual expression.","4,229.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Lacquered oak, marble top. View care instructions","placeholder"
"vipp_Vipp494","N/A","Vipp","Vipp","N/A","Cabin round table, light oak base","N/A","The Vipp Cabin round table is a medium-sized table for the dining room or kitchen. This table features a base of solid, oiled light oak with a marble tabletop. The Cabin table is also available in a square version. Please note that each marble plate has a unique visual expression.","4,629.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Olied oak, marble top. View care instructions","placeholder"
"vipp_Vipp496","N/A","Vipp","Vipp","N/A","Cabin square table","N/A","The Vipp Cabin square table is a large table for the dining room or kitchen. This table is made of light or dark solid oak and features an oblong shape and a base of two carved pieces of wood with a lacquered or oiled finish. The Cabin table is also available in a round version.","4,029.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Dark oak: lacquered. Light oak: lacquered or oiled. View care instructions","placeholder"
"vipp_Vipp456","N/A","Vipp","Vipp","N/A","Lounge chair","N/A","The Vipp Lounge chair is suited for the living room or lounge area. This lounge chair features a powder-coated aluminium frame with padded armrests and a slightly angled seat and backrest. Rounded edges and smooth, dark brown leather upholstery add softness to the sturdy, die-cast construction. The dark brown leather upholstery features unique visual characteristics.","2,079.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium, steel, aniline leather. View care instructions","placeholder"
"vipp_Vipp610","N/A","Vipp","Vipp","N/A","Ottoman for Loft sofa","N/A","The Vipp Loft ottoman is a free-standing module to be paired with the Vipp loft sofa. This ottoman features a frame of powder-coated aluminium and interior of foam, polyfibres and natural feathers. For more upholstery options, click details below.","1,295.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium, stainless steel, wood, textile upholstery","placeholder"
"vipp_Vipp610","N/A","Vipp","Vipp","N/A","Loft sofa, 3-seater","N/A","The Vipp Loft sofa is one of the two models available in the Vipp sofa series. The Loft sofa features a wide, angular shape with a wood and steel construction, carried by a slender frame of powder-coated steel. One cushion per unit is included. This version is a 3-seater configuration. For more modules and upholstery options, click details below.","5,035.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium, stainless steel, wood, textile upholstery. View care instructions","placeholder"
"vipp_Vipp632","N/A","Vipp","Vipp","N/A","Ottoman for Chimney sofa","N/A","The Vipp Chimney ottoman is a free-standing module to be paired with the Vipp Chimney sofa. This ottoman features a frame of powder-coated aluminium and interior of foam, polyfibres and natural feathers. For more upholstery options, click details below.","1,235.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium, stainless steel, wood, textile upholstery","placeholder"
"vipp_Vipp632","N/A","Vipp","Vipp","N/A","Chimney sofa, 3-seater","N/A","The Vipp Chimney sofa is one of the two models available in the Vipp sofa series. The Chimney sofa features a rounded and compact design with a wood and steel construction, carried by a slender frame of powder-coated steel. One cushion per unit is included. This version is a 3-seater configuration. For more modules and upholstery options, click details below.","5,035.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium, stainless steel, wood, textile upholstery. View care instructions","placeholder"
"vipp_Vipp632","N/A","Vipp","Vipp","N/A","Chimney sofa, 3-seater w/ chaise lounge","N/A","The Vipp Chimney sofa is one of the two models available in the Vipp sofa series. The Chimney sofa features a rounded and compact design with a wood and steel construction, carried by a slender frame of powder-coated steel. One cushion per unit is included. This configuration is a 3-seater with chaise lounge. For more modules and upholstery options, click details below.","7,450.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated aluminium, stainless steel, wood, textile upholstery. View care instructions","placeholder"
